action,fee_code,tariff_code,name_fa,feature_code,effective_to
ARCHIVE_OLD_RIAL,CBI1404_CRD_8_22_03,8-22,تغییر شرایط مصوبات ابلاغی صادره از سوی ارکان اعتباری بالاتر از رکن اعتباری شعبه به درخواست مشتری و منوط به صدور مصوبه جدید اشخاص حقوقی,CBI_CREDIT_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_CRD_8_24_01,8-24,موافقت با تنظیم اجاره نامه بر روی هر واحد مورد رهن اشخاص حقیقی,CBI_CREDIT_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_CRD_8_24_02,8-24,موافقت با تنظیم اجاره نامه بر روی هر واحد مورد رهن اشخاص حقوقی,CBI_CREDIT_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_CRD_8_25_01,8-25,بررسی و تصویب درخواست امهال,CBI_CREDIT_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_CRD_8_26_01,8-26,"توقف عملیات اجرایی در هر نوبت بعد از صدور اجراییه نسبت به قراردادهای رهنی , داخلی و چک به تقاضای بدهکار/راهن/سایر ذی نفعان (ضامنین , اشخاص ثالث و غیره)",CBI_CREDIT_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_CRD_8_27_01,8-27,هزینه استعلام از سازمان ثبت احوال کشور,CBI_CREDIT_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_CRD_8_27_02,8-27,ثبت و نگهداری سفته های تضمینی اشخاص حقیقی,CBI_CREDIT_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_CRD_8_27_03,8-27,ثبت و نگهداری سفته های تضمینی اشخاص حقوقی,CBI_CREDIT_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_CRD_8_29_01,8-29,انتقال قراردادهای تسهیلاتی,CBI_CREDIT_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_CRD_8_30_01,8-30,موافقت با تجمیع دو یا چند پلاک به منظور پرداخت تسهیلات مشارکت,CBI_CREDIT_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_CRD_8_31_01,8-31,موافقت با تغییر و اصلاح حدود اربعه پلاک در رهن بانک اشخاص حقیقی,CBI_CREDIT_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_CRD_8_31_02,8-31,موافقت با تغییر و اصلاح حدود اربعه پلاک در رهن بانک اشخاص حقوقی,CBI_CREDIT_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_CRD_8_30_02,8-30,درخواست تمدید مدت تعویض وثیقه غیر همزمان اشخاص حقیقی,CBI_CREDIT_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_CRD_8_30_03,8-30,درخواست تمدید مدت تعویض وثیقه غیر همزمان اشخاص حقوقی,CBI_CREDIT_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_CRD_8_33_01,8-33,موافقت با تنظیم سند پیش فروش روی واحد مورد مشارکت بانک اشخاص حقیقی,CBI_CREDIT_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_CRD_8_33_02,8-33,موافقت با تنظیم سند پیش فروش روی واحد مورد مشارکت بانک اشخاص حقوقی,CBI_CREDIT_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_CRD_8_34_01,8-34,تنظیم پیش نویس و ثبت سند رهنی در سیستم اشخاص حقیقی,CBI_CREDIT_FEE_GROUP,2026-09-09
